rank,model,theta,wins,losses,appearances,segment,p_vs_average,theta_lo,theta_hi,p_lo,p_hi,rank_lo,rank_hi,n_statements,n_respondents,n_opponents,status
57,Cadillac XT5,-1.173945,1,6,7,compact,0.236143,-1.982481,-0.373275,0.121055,0.407750,48,63,7,7,4,ranked
58,Jeep Grand Cherokee L,-1.201717,2,5,7,family_3row,0.231170,-3.175777,0.715457,0.040088,0.671606,29,71,6,6,5,ranked
59,Porsche Cayenne,-1.392229,3,16,19,mid_luxury,0.199052,-2.877336,-0.535613,0.053285,0.369209,50,69,19,18,7,ranked
60,Lexus GX 550,-1.536503,11,14,25,mid_luxury,0.177044,-2.532558,-0.870869,0.073607,0.295073,53,67,23,22,10,ranked
61,Mazda CX-5,-1.537125,4,8,12,compact,0.176954,-3.003877,-0.257086,0.047251,0.436080,47,70,12,12,9,ranked
62,Subaru Crosstrek,-1.594892,5,13,18,compact,0.168697,-2.793934,-0.574402,0.057653,0.360222,51,69,18,17,5,ranked
63,Chevrolet Tahoe,-1.829504,3,8,11,flagship,0.138297,-3.368300,-0.665487,0.033301,0.339508,51,71,10,10,8,ranked
64,Subaru Forester,-1.903700,2,13,15,compact,0.129690,-3.171682,-0.936523,0.040246,0.281603,54,71,15,14,6,ranked
65,Chevrolet Suburban,-2.108524,1,7,8,flagship,0.108271,-3.595411,-0.472367,0.026716,0.384056,49,72,7,7,5,ranked
66,Mazda CX-50,-2.158719,1,12,13,compact,0.103519,-3.428923,-1.183753,0.031404,0.234378,56,72,12,12,5,ranked
67,Tesla Model X,-2.201393,11,18,29,mid_luxury,0.099625,-3.171915,-1.393508,0.040236,0.198848,57,71,28,27,8,ranked
68,Rivian R1S,-2.203047,5,26,31,mid_luxury,0.099477,-3.212678,-1.574275,0.038691,0.171608,59,71,27,27,12,ranked
,Kia Sorento,-2.534494,1,10,11,family_3row,0.073475,-3.203153,-1.769708,0.039047,0.145579,,,9,9,2,insufficient_opponents
69,Toyota Land Cruiser,-2.576333,4,8,12,mid_luxury,0.070677,-3.739478,-1.687389,0.023215,0.156120,61,73,12,12,4,ranked
70,BMW X3,-2.721348,3,17,20,compact,0.061725,-3.575416,-1.935185,0.027241,0.126178,62,73,18,18,10,ranked
71,Toyota RAV4,-2.921104,1,31,32,compact,0.051120,-4.195258,-2.067668,0.014843,0.112279,63,74,32,31,14,ranked
72,Toyota 4Runner,-3.301591,3,25,28,mid_luxury,0.035517,-4.561162,-2.579233,0.010342,0.070487,67,74,28,28,8,ranked
73,BMW X1,-3.401535,1,7,8,compact,0.032248,-4.469800,-2.127389,0.011320,0.106463,64,74,8,8,5,ranked
74,Tesla Model Y,-3.774000,1,20,21,mid_luxury,0.022445,-4.974236,-2.865995,0.006866,0.053860,69,74,19,19,8,ranked
